,Frame Index,Time Stamp,RB Count,Marker Count,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,610,5.08333333,0,17,-0.09112383,1.80339277,-0.10009121,31967,Marker-31967,-0.97907114,1.56777894,-0.37911943,31968,Marker-31968,-0.75859296,1.58002794,-0.3480989,31969,Marker-31969,-0.26382142,1.61030281,-0.29638779,31970,Marker-31970,0.12517582,1.61670518,-0.29031909,31971,Marker-31971,0.34934863,1.61196351,-0.2976214,31972,Marker-31972,0.81751764,1.59968793,-0.32318541,31973,Marker-31973,0.58447713,1.59370589,-0.25703499,31974,Marker-31974,-0.08888929,1.44988191,-0.12756522,31975,Marker-31975,-0.09557376,1.05286348,-0.13393758,31976,Marker-31976,0.04251821,0.86456233,-0.14617322,31977,Marker-31977,-0.2187888,0.85117972,-0.15552756,31978,Marker-31978,0.0158238,0.52674001,-0.2057559,31979,Marker-31979,-0.17928416,0.52370393,-0.20389757,31980,Marker-31980,0.03702681,0.07468917,-0.16903092,31981,Marker-31981,-0.21802327,0.07628375,-0.16167578,31982,Marker-31982,-0.5087654,1.56700206,-0.3762213,31983,Marker-31983,,,,,
frame,611,5.09166667,0,17,-0.09113751,1.80339134,-0.10008287,31967,Marker-31967,-0.97912657,1.56765687,-0.37902543,31968,Marker-31968,-0.75862598,1.57996237,-0.34806105,31969,Marker-31969,-0.26383403,1.61029589,-0.2963914,31970,Marker-31970,0.12516449,1.61671329,-0.29028904,31971,Marker-31971,0.34934765,1.61195767,-0.29761177,31972,Marker-31972,0.81752485,1.59964705,-0.3231352,31973,Marker-31973,0.58446491,1.59371841,-0.25700477,31974,Marker-31974,-0.08891454,1.4499023,-0.12753229,31975,Marker-31975,-0.09556737,1.05287886,-0.13389131,31976,Marker-31976,0.04253076,0.8645494,-0.14616303,31977,Marker-31977,-0.21877719,0.85117739,-0.15550266,31978,Marker-31978,0.01583634,0.5267238,-0.20575911,31979,Marker-31979,-0.17929307,0.52371705,-0.20386687,31980,Marker-31980,0.03702677,0.07468639,-0.16904765,31981,Marker-31981,-0.21801843,0.07627524,-0.16169429,31982,Marker-31982,-0.50878018,1.56694758,-0.3762311,31983,Marker-31983,,,,,
frame,612,5.1,0,17,-0.09114483,1.80337667,-0.10007958,31967,Marker-31967,-0.97917634,1.56750524,-0.37890255,31968,Marker-31968,-0.75864887,1.57990944,-0.34801656,31969,Marker-31969,-0.26385504,1.61027086,-0.29638615,31970,Marker-31970,0.12516145,1.61670792,-0.29027328,31971,Marker-31971,0.34933189,1.61193514,-0.29760072,31972,Marker-31972,0.81752312,1.59958911,-0.32305318,31973,Marker-31973,0.58445448,1.59371591,-0.25695789,31974,Marker-31974,-0.08892702,1.44989634,-0.12750441,31975,Marker-31975,-0.09556108,1.05286205,-0.13387844,31976,Marker-31976,0.04254641,0.86455292,-0.14613254,31977,Marker-31977,-0.21876068,0.85116118,-0.15546697,31978,Marker-31978,0.01584233,0.52673602,-0.20570558,31979,Marker-31979,-0.17928164,0.52368993,-0.20385076,31980,Marker-31980,0.03702189,0.07467493,-0.16904145,31981,Marker-31981,-0.21801449,0.07626531,-0.16166577,31982,Marker-31982,-0.5088222,1.56689179,-0.37622702,31983,Marker-31983,,,,,
frame,613,5.10833333,0,17,-0.09115998,1.80336165,-0.10008337,31967,Marker-31967,-0.97922379,1.5673157,-0.37879008,31968,Marker-31968,-0.75866956,1.57984293,-0.34795591,31969,Marker-31969,-0.26386687,1.61024427,-0.29638141,31970,Marker-31970,0.12515996,1.61670244,-0.29026422,31971,Marker-31971,0.34932443,1.6119225,-0.29758906,31972,Marker-31972,0.81754333,1.59952056,-0.32295346,31973,Marker-31973,0.58445001,1.59371483,-0.25691423,31974,Marker-31974,-0.08894751,1.44988942,-0.12749673,31975,Marker-31975,-0.09554956,1.05284953,-0.13386135,31976,Marker-31976,0.0425509,0.8645314,-0.14610817,31977,Marker-31977,-0.21875691,0.85114992,-0.15544806,31978,Marker-31978,0.01585395,0.52672511,-0.20569448,31979,Marker-31979,-0.1792807,0.52368128,-0.20381974,31980,Marker-31980,0.03702122,0.07465039,-0.16904278,31981,Marker-31981,-0.2180104,0.07625242,-0.16167095,31982,Marker-31982,-0.50885099,1.56684768,-0.37620953,31983,Marker-31983,,,,,
frame,614,5.11666667,0,17,-0.09116607,1.80335629,-0.10007969,31967,Marker-31967,-0.97927028,1.56711733,-0.37868685,31968,Marker-31968,-0.75868708,1.57978559,-0.34788695,31969,Marker-31969,-0.26388478,1.61025071,-0.29637724,31970,Marker-31970,0.12516232,1.61671317,-0.29024103,31971,Marker-31971,0.34932569,1.61193204,-0.29756042,31972,Marker-31972,0.81753981,1.5994761,-0.32287192,31973,Marker-31973,0.58444852,1.59371281,-0.25687379,31974,Marker-31974,-0.08894745,1.44990945,-0.12747264,31975,Marker-31975,-0.09554753,1.05287063,-0.13382578,31976,Marker-31976,0.04255517,0.86455071,-0.14609356,31977,Marker-31977,-0.21874709,0.85115987,-0.15540972,31978,Marker-31978,0.0158689,0.52674907,-0.20568313,31979,Marker-31979,-0.17928256,0.52368933,-0.20380461,31980,Marker-31980,0.03701857,0.07466751,-0.16904289,31981,Marker-31981,-0.21802798,0.07627618,-0.16166642,31982,Marker-31982,-0.50887889,1.56681645,-0.37618983,31983,Marker-31983,,,,,
frame,615,5.125,0,17,-0.09116621,1.80334663,-0.10008064,31967,Marker-31967,-0.97929543,1.56692171,-0.37856132,31968,Marker-31968,-0.75872171,1.57970762,-0.34780166,31969,Marker-31969,-0.26389146,1.6102494,-0.29637539,31970,Marker-31970,0.12515894,1.61672533,-0.2902281,31971,Marker-31971,0.34931794,1.61195779,-0.29752299,31972,Marker-31972,0.81753838,1.59944391,-0.32279107,31973,Marker-31973,0.58444077,1.59369791,-0.25682381,31974,Marker-31974,-0.08895938,1.44992661,-0.12745281,31975,Marker-31975,-0.09553878,1.05287158,-0.13381085,31976,Marker-31976,0.04256437,0.86457092,-0.14608836,31977,Marker-31977,-0.21874462,0.85116476,-0.15539402,31978,Marker-31978,0.01587228,0.52674973,-0.20566709,31979,Marker-31979,-0.17927347,0.52368736,-0.20378023,31980,Marker-31980,0.03703074,0.07467583,-0.16903856,31981,Marker-31981,-0.21801934,0.0762711,-0.16166455,31982,Marker-31982,-0.50890023,1.56680036,-0.37614185,31983,Marker-31983,,,,,
frame,616,5.13333333,0,17,-0.09117664,1.80332959,-0.10008586,31967,Marker-31967,-0.97931105,1.56676292,-0.37844837,31968,Marker-31968,-0.75872636,1.57964396,-0.34773439,31969,Marker-31969,-0.26389238,1.61023879,-0.29634389,31970,Marker-31970,0.12514533,1.61672521,-0.29020473,31971,Marker-31971,0.3493169,1.61195624,-0.29747778,31972,Marker-31972,0.81753755,1.5993973,-0.32272506,31973,Marker-31973,0.58443952,1.59367394,-0.25678748,31974,Marker-31974,-0.08895969,1.44992983,-0.12743336,31975,Marker-31975,-0.09552635,1.05288064,-0.13379365,31976,Marker-31976,0.04257624,0.86456269,-0.14608879,31977,Marker-31977,-0.21873002,0.85116434,-0.15536164,31978,Marker-31978,0.01587245,0.52674729,-0.20566738,31979,Marker-31979,-0.17926501,0.5236789,-0.2037663,31980,Marker-31980,0.03702309,0.07466571,-0.16904029,31981,Marker-31981,-0.21801412,0.07624509,-0.16168278,31982,Marker-31982,-0.50890189,1.56679726,-0.37609735,31983,Marker-31983,,,,,
frame,617,5.14166667,0,17,-0.09118259,1.80333745,-0.10009685,31967,Marker-31967,-0.97932565,1.56664526,-0.37834522,31968,Marker-31968,-0.75873739,1.57958186,-0.34767783,31969,Marker-31969,-0.26389518,1.61023319,-0.29631218,31970,Marker-31970,0.12514055,1.61672783,-0.29019186,31971,Marker-31971,0.34931618,1.61194789,-0.29744786,31972,Marker-31972,0.81754696,1.5993607,-0.32268471,31973,Marker-31973,0.58443171,1.59366798,-0.2567431,31974,Marker-31974,-0.08895376,1.44991982,-0.1273994,31975,Marker-31975,-0.09553016,1.05287325,-0.13378836,31976,Marker-31976,0.04257092,0.86455441,-0.1460809,31977,Marker-31977,-0.21873146,0.85116684,-0.15534794,31978,Marker-31978,0.01588475,0.52673233,-0.2056829,31979,Marker-31979,-0.17926051,0.52365798,-0.20374554,31980,Marker-31980,0.03701716,0.07466752,-0.16902854,31981,Marker-31981,-0.21800335,0.07627571,-0.16164792,31982,Marker-31982,-0.50890529,1.56680334,-0.37604865,31983,Marker-31983,,,,,
frame,618,5.15,0,17,-0.09119833,1.80333984,-0.1001033,31967,Marker-31967,-0.97932965,1.56658757,-0.37827492,31968,Marker-31968,-0.75875187,1.57951081,-0.34761307,31969,Marker-31969,-0.26391003,1.61023688,-0.29628655,31970,Marker-31970,0.12514254,1.61673129,-0.2901783,31971,Marker-31971,0.34931245,1.6119442,-0.29741877,31972,Marker-31972,0.81754148,1.5993439,-0.322669,31973,Marker-31973,0.58443457,1.5936631,-0.2566976,31974,Marker-31974,-0.08895338,1.449929,-0.12738168,31975,Marker-31975,-0.09552547,1.05287886,-0.13377661,31976,Marker-31976,0.04258488,0.86458039,-0.1460456,31977,Marker-31977,-0.21872666,0.85116643,-0.15532924,31978,Marker-31978,0.01587454,0.52672482,-0.20567827,31979,Marker-31979,-0.17927848,0.52368546,-0.20373726,31980,Marker-31980,0.03702512,0.07469345,-0.16902992,31981,Marker-31981,-0.21801171,0.07628128,-0.16163968,31982,Marker-31982,-0.5089131,1.56678534,-0.37599388,31983,Marker-31983,,,,,
frame,619,5.15833333,0,17,-0.09120652,1.80336881,-0.10011801,31967,Marker-31967,-0.97932744,1.56658232,-0.37822446,31968,Marker-31968,-0.75882816,1.5793879,-0.34760457,31969,Marker-31969,-0.26391363,1.61022973,-0.29625964,31970,Marker-31970,0.12514646,1.61673176,-0.29018146,31971,Marker-31971,0.3493256,1.61193085,-0.29741395,31972,Marker-31972,0.81755239,1.59933126,-0.32265306,31973,Marker-31973,0.58443636,1.59366858,-0.25667834,31974,Marker-31974,-0.08894266,1.44994366,-0.12736182,31975,Marker-31975,-0.09552342,1.05288982,-0.13374694,31976,Marker-31976,0.04258079,0.86455399,-0.14608127,31977,Marker-31977,-0.21873318,0.85117149,-0.1553241,31978,Marker-31978,0.015881,0.52673548,-0.20568895,31979,Marker-31979,-0.17926882,0.52367443,-0.20373228,31980,Marker-31980,0.0370155,0.07467668,-0.16903487,31981,Marker-31981,-0.2180042,0.07628383,-0.16163859,31982,Marker-31982,-0.50891954,1.56675744,-0.37594634,31983,Marker-31983,,,,,
